lon,lat
201.9437362,-8.979465957
201.9455817,-8.970674739
201.9500797,-8.962062541
201.9499794,-8.952065031
201.9506882,-8.942146976
201.9483974,-8.93241449
201.9465772,-8.922595579
201.9537129,-8.917789169
201.9622927,-8.9228503
201.9717716,-8.925928428
201.9814436,-8.92423678
201.9905727,-8.920178939
201.9997375,-8.916307287
202.0094574,-8.917767013
202.0178229,-8.923133887
202.0265529,-8.927998127
202.0353766,-8.932703769
202.0444136,-8.936850749
202.0542931,-8.936239266
202.0640603,-8.934108879
202.0726442,-8.938284537
202.0732358,-8.948214043
202.0762583,-8.957702578
202.0811177,-8.966065582
202.0830817,-8.97586635
202.0860866,-8.98530707
202.0924547,-8.99284157
202.099881,-8.999381933
202.1047289,-9.008125166
202.1099971,-9.016618037
202.1165783,-9.024084798
202.1199516,-9.03272871
202.1130185,-9.039902682
202.1048277,-9.045620186
202.0969561,-9.051706492
202.091903,-9.060228933
202.0865533,-9.068642869
202.082329,-9.077698387
202.0769659,-9.085938806
202.0673163,-9.086430621
202.0580574,-9.082862947
202.0484791,-9.080731897
202.0396038,-9.085083534
202.0312747,-9.083447392
202.0257451,-9.0751356
202.0209313,-9.066375367
202.0151615,-9.05825257
202.0103746,-9.049683177
202.0063516,-9.04056026
201.9989969,-9.033892809
201.9902728,-9.029504026
201.9803304,-9.028808217
201.9708548,-9.026137899
201.967044,-9.016943229
201.9624718,-9.008088364
201.9578997,-8.999199688
201.9520229,-8.991133481
201.9459529,-8.983186524
198.8945163,-10.03350415
198.8973809,-10.0239489
198.8993646,-10.01416054
198.9006408,-10.00424381
198.9033875,-9.995050048
198.9129635,-9.9969437
198.9216518,-10.00177369
198.9229603,-10.01083567
198.9193457,-10.02013759
198.9163267,-10.02966157
198.9107911,-10.03743857
198.9011362,-10.03805833
198.9611845,-10.43816095
198.9630189,-10.42835479
198.9644595,-10.41850153
198.9659267,-10.40862532
198.9703285,-10.39971041
198.9751114,-10.39097215
198.981555,-10.38336166
198.9864134,-10.37466717
198.9934671,-10.37018664
198.9997228,-10.37755809
199.0048443,-10.38614528
199.0104364,-10.394424
199.0166351,-10.40226451
199.0235465,-10.40947528
199.0314615,-10.41557
199.0397755,-10.42111997
199.0465836,-10.42788549
199.0465145,-10.43788032
199.0460369,-10.44756045
199.0385392,-10.45405739
199.0290652,-10.45631415
199.0192206,-10.45730184
199.0097114,-10.46031422
199.0007095,-10.46465821
198.9921606,-10.45998794
198.9850603,-10.45294779
198.977284,-10.4467489
198.9678657,-10.44368219
198.9611893,-10.43896921
196.8027103,-18.05371881
196.8098408,-18.04671958
196.8170483,-18.03982589
196.8226932,-18.0316269
196.8259342,-18.02225727
196.8259231,-18.01230527
196.8246425,-18.00239242
196.8280682,-17.99319565
196.8357885,-17.98842311
196.8438709,-17.99385156
196.8495416,-18.00207771
196.8558068,-18.00980996
196.8639276,-18.01557151
196.8686458,-18.02382129
196.8750157,-18.03014519
196.8845439,-18.03275377
196.8867111,-18.04141209
196.8847742,-18.05117129
196.8785871,-18.05836427
