lon,lat,zeta_max[m],hs_max[m],max_TWL_nearshore[m]
185.85219872,-18.7146847795,1.064295435387684,7.338303565979004,2.8858399670403516
185.8536095517,-18.709887952,1.064295435387684,7.338303565979004,2.8858399670403516
185.8550203833,-18.7050911245,1.070980909265424,2.1501684188842773,1.6657237864366294
185.8564312149,-18.700294297,1.070980909265424,2.1501684188842773,1.6657237864366294
185.8587752204,-18.6959334051,1.0783757699913283,1.8229938745498657,1.535069947281295
185.8615487214,-18.6917731536,1.0832464192670446,1.3408015966415405,1.4965343970752616
185.8643222223,-18.6876129021,1.089331299383333,6.304715156555176,2.530744774194744
185.8670957233,-18.6834526507,1.089331299383333,6.304715156555176,2.530744774194744
185.8703081701,-18.6797484183,1.0930540046267665,6.816354274749756,2.67930880456884
185.8745711764,-18.677135608,1.1007216874273447,5.967473030090332,2.477508580903107
185.8788341827,-18.6745227977,1.1007216874273447,5.967473030090332,2.477508580903107
185.8830971889,-18.6719099874,1.103357396694362,6.3417558670043945,2.513149569587736
185.8873601952,-18.6692971771,1.108058039779046,6.17464542388916,2.5098914762474083
185.892195051,-18.6681886271,1.1082585367882285,2.701838493347168,1.8201904192516045
185.8971171889,-18.6673096739,1.1082585367882285,2.701838493347168,1.8201904192516045
185.9020393268,-18.6664307207,1.118824409363536,1.7486706972122192,1.6807454446424401
185.9061602977,-18.6642720515,1.1186527253125467,1.7710367441177368,1.7087693061279963
185.9091011562,-18.6602283711,1.1202425845424515,6.3533854484558105,2.487598852992972
185.9120420147,-18.6561846906,1.1244187875113312,6.419321060180664,2.456272976833776
185.9149828731,-18.6521410102,1.1244187875113312,6.419321060180664,2.456272976833776
185.9179237316,-18.6480973298,1.1249944551187707,6.743743896484375,2.489482614008092
185.9208028619,-18.6440103679,1.1289321762528024,7.488968849182129,2.66337311613662
185.923602149,-18.6398674231,1.130844245324334,7.4458842277526855,2.673669087086218
185.926401436,-18.6357244782,1.130844245324334,7.4458842277526855,2.673669087086218
185.9292007231,-18.6315815334,1.1313063035236886,7.468510150909424,2.695065338391231
185.9320000101,-18.6274385886,1.1346183851926641,1.8069428205490112,1.6121290016836074
185.9347992972,-18.6232956437,1.1352673319596935,1.6092296838760376,1.709241387638777
185.9393427375,-18.6212101479,1.1352673319596935,1.6092296838760376,1.709241387638777
185.9438880616,-18.6191268744,1.1397343068792298,1.661920189857483,1.7991996859317307
185.9484333857,-18.6170436008,1.1454401988843192,5.3946452140808105,2.3480819471550802
185.9532647736,-18.6158537463,1.1454401988843192,5.3946452140808105,2.3480819471550802
185.9581748059,-18.6149095093,1.147436197389434,4.453970909118652,2.169746848182541
185.9630848381,-18.6139652723,1.1487722967135252,4.294766426086426,2.0527504168089012
185.9676983418,-18.6121995628,1.153367634005291,6.040737628936768,2.239327985294456
185.9720794213,-18.6097899691,1.153367634005291,6.040737628936768,2.239327985294456
185.9764605009,-18.6073803753,1.156957321506577,7.285174369812012,2.494978462419895
185.9798819659,-18.6038214034,1.160729805847829,7.5225324630737305,2.5529685918246736
185.9830349291,-18.5999408334,1.160729805847829,7.5225324630737305,2.5529685918246736
185.9861878922,-18.5960602634,1.160729805847829,7.5225324630737305,2.5529685918246736
185.9893408553,-18.5921796934,1.163342385366876,7.761407852172852,2.6211813286880465
185.9924938184,-18.5882991234,1.163342385366876,7.761407852172852,2.6211813286880465
185.9932471376,-18.5835665823,1.1658509066748783,8.123309135437012,2.754238275792068
185.9932471376,-18.5785665823,1.1599191408133005,2.0709288120269775,2.0024662620305387
185.9943523101,-18.5739986869,1.1596292968800384,7.5476202964782715,2.6856795816646812
185.9977437106,-18.5703246697,1.1643600279494568,6.7403106689453125,2.4457986624035972
186.0013032912,-18.5668645816,1.163746208051322,7.3389177322387695,2.814705193024081
186.0056740776,-18.564436367,1.162141626328047,7.58494234085083,2.8386988174972716
186.010044864,-18.5620081523,1.163029509795926,7.540311813354492,2.6926452988120477
186.0147579453,-18.560487726,1.1562759705274313,7.518557548522949,3.211301738240947
186.0196438271,-18.5594255777,1.1562759705274313,7.518557548522949,3.211301738240947
186.0245297089,-18.5583634295,1.1501887101437913,8.16598892211914,3.5795619030721815
186.0293018128,-18.559412306,1.1213923938786803,6.925608158111572,3.369229322324144
186.0340452293,-18.5609934448,1.152144720715168,8.071538925170898,3.5863162056950704
186.0388028601,-18.5625232654,1.152144720715168,8.071538925170898,3.5863162056950704
186.0436837954,-18.5636079177,1.1528600957301902,8.31619644165039,3.6573255568642224
186.0485647307,-18.56469257,1.1503372427080296,8.266656875610352,3.6472434213480103
186.053445666,-18.5657772223,1.151262560101909,6.976803302764893,3.326635803794229
186.0584100276,-18.5662389097,1.151262560101909,6.976803302764893,3.326635803794229
186.0634043683,-18.5664767354,1.136140564116735,8.958252906799316,3.822644243813351
186.0683545995,-18.5669506997,1.1354546325756125,9.669221878051758,4.016764832896391
186.0730980159,-18.5685318385,1.1354546325756125,9.669221878051758,4.016764832896391
186.0773042412,-18.5707870354,1.1349563666887394,10.464035987854004,4.2258013605495615
186.0799039759,-18.5750580282,1.1349563666887394,10.464035987854004,4.2258013605495615
186.0825037107,-18.5793290209,1.1328383770701642,10.572891235351562,4.248339186813711
186.0851034454,-18.5836000137,1.1328383770701642,10.572891235351562,4.248339186813711
186.0851759693,-18.5885796769,1.1304403806163856,10.6528902053833,4.272843672527889
186.0851759693,-18.5935796769,1.1304403806163856,10.6528902053833,4.272843672527889
186.0851759693,-18.5985796769,1.1279664742796691,10.210938453674316,4.170840580256409
