lon,lat,zeta_max[m],hs_max[m],max_TWL_nearshore[m]
185.85219872,-18.7146847795,1.0643580529644765,7.070135116577148,2.827595479429982
185.8536095517,-18.709887952,1.0643580529644765,7.070135116577148,2.827595479429982
185.8550203833,-18.7050911245,1.0708203135834553,2.1475608348846436,1.6592032377867727
185.8564312149,-18.700294297,1.0708203135834553,2.1475608348846436,1.6592032377867727
185.8587752204,-18.6959334051,1.0800404525156295,1.4270473718643188,1.3825157469894593
185.8615487214,-18.6917731536,1.0835138169547034,1.340436577796936,1.496047058429871
185.8643222223,-18.6876129021,1.0896421458564143,6.283926963806152,2.530499458210924
185.8670957233,-18.6834526507,1.0896421458564143,6.283926963806152,2.530499458210924
185.8703081701,-18.6797484183,1.0929357275211216,6.817601680755615,2.68004927070512
185.8745711764,-18.677135608,1.1005043018874654,5.942647933959961,2.475226435286607
185.8788341827,-18.6745227977,1.1005043018874654,5.942647933959961,2.475226435286607
185.8830971889,-18.6719099874,1.103495362536205,6.337574481964111,2.5137710129393267
185.8873601952,-18.6692971771,1.1080867632695226,6.141199111938477,2.506917024770522
185.892195051,-18.6681886271,1.1116865525917248,2.389662981033325,1.693346155024989
185.8971171889,-18.6673096739,1.1116865525917248,2.389662981033325,1.693346155024989
185.9020393268,-18.6664307207,1.1183552481201584,1.7420284748077393,1.6791792758067197
185.9061602977,-18.6642720515,1.1203735890779773,1.4295730590820312,1.5238491409220414
185.9091011562,-18.6602283711,1.1205557390443996,6.292751312255859,2.488503308445164
185.9120420147,-18.6561846906,1.1243968839200655,6.374063968658447,2.456465731743724
185.9149828731,-18.6521410102,1.1243968839200655,6.374063968658447,2.456465731743724
185.9179237316,-18.6480973298,1.1251713665101568,6.710873603820801,2.488219192842974
185.9208028619,-18.6440103679,1.1288847561186002,7.403726100921631,2.6694179109903198
185.923602149,-18.6398674231,1.130705149016603,7.343896389007568,2.672678473586461
185.926401436,-18.6357244782,1.130705149016603,7.343896389007568,2.672678473586461
185.9292007231,-18.6315815334,1.130995745121837,7.377617359161377,2.6990484541303763
185.9320000101,-18.6274385886,1.1358154991391392,1.5116366147994995,1.4390283183813235
185.9347992972,-18.6232956437,1.136868238613858,1.3063095808029175,1.557340151209004
185.9393427375,-18.6212101479,1.136868238613858,1.3063095808029175,1.557340151209004
185.9438880616,-18.6191268744,1.1409602128278065,1.3462646007537842,1.5992811819185473
185.9484333857,-18.6170436008,1.1453435243197816,5.405017375946045,2.35713647773853
185.9532647736,-18.6158537463,1.1453435243197816,5.405017375946045,2.35713647773853
185.9581748059,-18.6149095093,1.1472520055176878,4.454375267028809,2.1760409882269194
185.9630848381,-18.6139652723,1.148818010118464,4.289980888366699,2.0602332974241047
185.9676983418,-18.6121995628,1.153319823706908,6.060122966766357,2.2384944162571005
185.9720794213,-18.6097899691,1.153319823706908,6.060122966766357,2.2384944162571005
185.9764605009,-18.6073803753,1.15699204063789,7.29688024520874,2.499609533360439
185.9798819659,-18.6038214034,1.1604510026355788,7.524310111999512,2.555349377538326
185.9830349291,-18.5999408334,1.1604510026355788,7.524310111999512,2.555349377538326
185.9861878922,-18.5960602634,1.1604510026355788,7.524310111999512,2.555349377538326
185.9893408553,-18.5921796934,1.1629760409060084,7.759850978851318,2.6267769213450576
185.9924938184,-18.5882991234,1.1629760409060084,7.759850978851318,2.6267769213450576
185.9932471376,-18.5835665823,1.165273392509321,8.001219749450684,2.7578609886645222
185.9932471376,-18.5785665823,1.1602616480352905,2.0724222660064697,2.0045066987839575
185.9943523101,-18.5739986869,1.159509236030477,7.541533470153809,2.6739224565821713
185.9977437106,-18.5703246697,1.1645641968314615,6.732355117797852,2.449412890620155
186.0013032912,-18.5668645816,1.1638159149370386,7.3501996994018555,2.8088766400428438
186.0056740776,-18.564436367,1.1622822755338535,7.587496280670166,2.842955205254876
186.010044864,-18.5620081523,1.1627814428607544,7.547595024108887,2.6851256492578037
186.0147579453,-18.560487726,1.156553978794445,7.534031391143799,3.212575114429657
186.0196438271,-18.5594255777,1.156553978794445,7.534031391143799,3.212575114429657
186.0245297089,-18.5583634295,1.1490641050921084,8.129502296447754,3.57315808152278
186.0293018128,-18.559412306,1.1238678503194797,6.9162187576293945,3.3685025746612056
186.0340452293,-18.5609934448,1.1512416591538643,8.057205200195312,3.5845228281921466
186.0388028601,-18.5625232654,1.1512416591538643,8.057205200195312,3.5845228281921466
186.0436837954,-18.5636079177,1.1538402643994392,8.324114799499512,3.6634172612845095
186.0485647307,-18.56469257,1.1499126002887585,8.285477638244629,3.655544993428906
186.053445666,-18.5657772223,1.1520739159931095,6.981549263000488,3.328980849601695
186.0584100276,-18.5662389097,1.1520739159931095,6.981549263000488,3.328980849601695
186.0634043683,-18.5664767354,1.1353588391481269,8.959473609924316,3.8279326709641897
186.0683545995,-18.5669506997,1.1357512553214841,9.65539836883545,4.018684424506793
186.0730980159,-18.5685318385,1.1357512553214841,9.65539836883545,4.018684424506793
186.0773042412,-18.5707870354,1.1350734153002693,10.46184253692627,4.225136924383357
186.0799039759,-18.5750580282,1.1350734153002693,10.46184253692627,4.225136924383357
186.0825037107,-18.5793290209,1.1328057358534755,10.571375846862793,4.247584354433241
186.0851034454,-18.5836000137,1.1328057358534755,10.571375846862793,4.247584354433241
186.0851759693,-18.5885796769,1.130458732388195,10.647229194641113,4.270320888272097
186.0851759693,-18.5935796769,1.130458732388195,10.647229194641113,4.270320888272097
186.0851759693,-18.5985796769,1.1278473203854489,10.208342552185059,4.167652005587285
