lon,lat,zeta_max[m],hs_max[m],max_TWL_nearshore[m]
185.85219872,-18.7146847795,1.0642620754024337,7.32990837097168,2.880545320634989
185.8536095517,-18.709887952,1.0642620754024337,7.32990837097168,2.880545320634989
185.8550203833,-18.7050911245,1.0709686668874607,2.1479716300964355,1.6657673723939974
185.8564312149,-18.700294297,1.0709686668874607,2.1479716300964355,1.6657673723939974
185.8587752204,-18.6959334051,1.0783889018651098,1.8222390413284302,1.5350101260120592
185.8615487214,-18.6917731536,1.0832193091660496,1.3398574590682983,1.4966111048350803
185.8643222223,-18.6876129021,1.08929726793591,6.288752555847168,2.529798048356303
185.8670957233,-18.6834526507,1.08929726793591,6.288752555847168,2.529798048356303
185.8703081701,-18.6797484183,1.0930284992396384,6.820810317993164,2.6786719281511973
185.8745711764,-18.677135608,1.1006978652823962,5.948164463043213,2.4740854774889876
185.8788341827,-18.6745227977,1.1006978652823962,5.948164463043213,2.4740854774889876
185.8830971889,-18.6719099874,1.103339833324084,6.342815399169922,2.510780431140917
185.8873601952,-18.6692971771,1.1080293998663564,6.182147026062012,2.508021605029648
185.892195051,-18.6681886271,1.1082341236680682,2.7023494243621826,1.8196107265939538
185.8971171889,-18.6673096739,1.1082341236680682,2.7023494243621826,1.8196107265939538
185.9020393268,-18.6664307207,1.1187603329993576,1.7480274438858032,1.6807036403979176
185.9061602977,-18.6642720515,1.118602072172818,1.770302414894104,1.7087073711005145
185.9091011562,-18.6602283711,1.1202064630002948,6.3542256355285645,2.48885371516786
185.9120420147,-18.6561846906,1.1243939944595556,6.419883728027344,2.4585768224936726
185.9149828731,-18.6521410102,1.1243939944595556,6.419883728027344,2.4585768224936726
185.9179237316,-18.6480973298,1.1249477837284625,6.745048522949219,2.4897433578992025
185.9208028619,-18.6440103679,1.1289059852671588,7.4913249015808105,2.663783207964726
185.923602149,-18.6398674231,1.1308466098445127,7.44578218460083,2.670446171241423
185.926401436,-18.6357244782,1.1308466098445127,7.44578218460083,2.670446171241423
185.9292007231,-18.6315815334,1.131324259895108,7.462557315826416,2.697032905792374
185.9320000101,-18.6274385886,1.1346414695741953,1.8071410655975342,1.612087261087337
185.9347992972,-18.6232956437,1.135241214751986,1.6067248582839966,1.7093018287987691
185.9393427375,-18.6212101479,1.135241214751986,1.6067248582839966,1.7093018287987691
185.9438880616,-18.6191268744,1.1397772701764983,1.6623388528823853,1.7992489926330342
185.9484333857,-18.6170436008,1.145508860056401,5.395761489868164,2.3466060074690347
185.9532647736,-18.6158537463,1.145508860056401,5.395761489868164,2.3466060074690347
185.9581748059,-18.6149095093,1.1475146280738822,4.45512580871582,2.168546847719508
185.9630848381,-18.6139652723,1.1488003049080515,4.298559665679932,2.0530228313041095
185.9676983418,-18.6121995628,1.1533655503515579,6.043210029602051,2.2435793039713876
185.9720794213,-18.6097899691,1.1533655503515579,6.043210029602051,2.2435793039713876
185.9764605009,-18.6073803753,1.1569660139261424,7.296466827392578,2.502607244066616
185.9798819659,-18.6038214034,1.1607296494203132,7.530671119689941,2.557361175838132
185.9830349291,-18.5999408334,1.1607296494203132,7.530671119689941,2.557361175838132
185.9861878922,-18.5960602634,1.1607296494203132,7.530671119689941,2.557361175838132
185.9893408553,-18.5921796934,1.1633347242458452,7.76546573638916,2.6285643368694087
185.9924938184,-18.5882991234,1.1633347242458452,7.76546573638916,2.6285643368694087
185.9932471376,-18.5835665823,1.1658390075127358,8.117816925048828,2.76258409006004
185.9932471376,-18.5785665823,1.1598907256460576,2.0697734355926514,2.0026114330318614
185.9943523101,-18.5739986869,1.1596111572330627,7.527274131774902,2.684343876928983
185.9977437106,-18.5703246697,1.1643637371254665,6.728614330291748,2.4509267184652743
186.0013032912,-18.5668645816,1.163739770210474,7.329803466796875,2.814562705907814
